"","Celebrity","PowerRanking","PayAmount","Power_Ranking","Pay_Amount"
"1","Tom Cruise",1,67,NA,NA
"2","Rolling Stones",2,90,NA,NA
"3","Oprah Winfrey",3,225,NA,NA
"4","U2",4,110,NA,NA
"5","Tiger Woods",5,90,NA,NA
"6","Steven Spielberg",6,332,NA,NA
"7","Howard Stern",7,302,NA,NA
"8","50 Cent",8,41,NA,NA
"9","Cast of the Sopranos",9,52,NA,NA
"10","Dan Brown",10,88,NA,NA
"11","Bruce Springsteen",11,55,NA,NA
"12","Donald Trump",12,44,NA,NA
"13","Muhammad Ali",13,55,NA,NA
"14","Paul McCartney",14,40,NA,NA
"15","George Lucas",15,233,NA,NA
"16","Elton John",16,34,NA,NA
"17","David Letterman",17,40,NA,NA
"18","Phil Mickelson",18,47,NA,NA
"19","J.K Rowling",15,90,15,90
"20","Bradd Pitt",20,25,NA,NA
"21","Peter Jackson",21,39,NA,NA
"22","Dr. Phil McGraw",22,45,NA,NA
"23","Jay Lenon",23,32,NA,NA
"24","Celine Dion",24,40,NA,NA
"25","Kobe Bryant",25,31,NA,NA
